연번	자치구 	시장명 	신주소(도로명 주소)	구주소(번지주소)	유형	형태	 건물연면적(㎡) 
374	구로구	극동종합상가 골목형상점가	서울 구로구 구로중앙로7길 28	 	골목형상점가	건물형	               1,408
375	구로구	남구로시장	 서울특별시 구로구 구로동로28길 16-7(구로동) 일원	 서울특별시 구로구 구로동 730-27	인정시장	골목형	             24,544
376	구로구	대림역도림로 골목형상점가	서울 구로구 도림로 90	 	골목형상점가	골목형	               3,145
377	구로구	오류골먹자골목 골목형상점가	서울 구로구 경인로23길 8	 	골목형상점가	골목형	               4,785
378	구로구	오류버들시장 골목형상점가	서울 구로구 오류로8길 6	서울 구로구 오류동 156-100	골목형상점가	골목형	             25,507
379	구로구	오류시장	 서울특별시 구로구 경인로19가길 14-1	 서울특별시 구로구 오류동 38-7	등록시장	건물형	               3,947
380	구로구	온수골 골목형상점가	서울 구로구 부일로1가길 8	서울 구로구 온수동 61-1	골목형상점가	골목형	               7,555
381	구로구	온수역광장 골목형상점가	서울 구로구 경인로3길 60	서울 구로구 온수동 51-2	골목형상점가	골목형	               4,105
소계	금천구	11	　	　	　	　	　
382	금천구	대명여울빛거리시장	 서울특별시  시흥대로52길 70	 서울특별시 시흥동 884-5	인정시장	상점가	             22,929
383	금천구	독산동 맛나는거리상점가	서울 금천구 시흥대로 406	 	상점가	상점가	             18,021
384	금천구	독산동 우시장	 서울특별시 범안로 1209	 서울특별시 독산동 293-5,6 외 3필지	상점가	상점가	             18,600
385	금천구	법원단지길 상점가	서울 금천구 독산로 136	서울 금천구 시흥동 803-3	골목형상점가	골목형	             16,342
386	금천구	별빛남문시장	 서울특별시 금천구 시흥대로144길 17	 서울특별시 독산동 984-10	인정시장	골목형	             13,079
387	금천구	비단길현대시장	 서울특별시 금천구 독산로41길 7	 서울특별시 시흥동 856~888	인정시장	골목형	             23,598
388	금천구	시흥행궁길	서울 금천구 금하로23길 40	서울 금천구 시흥동 825	골목형상점가	골목형	             25,574
389	금천구	아름다운 별장거리	서울 금천구 금하로24길 24	서울 금천구 시흥동 918-18	골목형상점가	골목형	             20,347
390	금천구	은행나무시장	 서울특별시 금하로25길 1~35 골목일대	 서울특별시 시흥동 828-45	인정시장	골목형	               2,202
391	금천구	정훈한마음골목시장	서울특별시 금천구 독산로64길,65길 일대	서울특별시 독산동 391-91 외	골목형상점가	골목형	               6,814
392	금천구	천리단길 상점가	서울 금천구 시흥대로63길 37	서울 금천구 시흥동 117-5	골목형상점가	골목형	               2,892
소계	영등포구	28	　	　	　	　	　
393	영등포구	남서울상가	 서울특별시 영등포구 영중로14길 11	 서울특별시 영등포구 영등포동5가 16-1	상점가	건물형	               8,580
394	영등포구	대림동우리 골목형상점가	서울 영등포구 대림로7길 15	서울 영등포구 대림동 990-128	골목형상점가	골목형	               3,159
395	영등포구	대림중앙골목형상점가	 서울특별시 영등포구 디지털로37길 29	 서울특별시 영등포구 대림동 1058-5	골목형상점가	상점가	               9,525
396	영등포구	대림중앙시장	 서울특별시 영등포구 디지털로37나길 21	 서울특별시 영등포구 대림동 1072-25	인정시장	골목형	               2,974
397	영등포구	대신시장	 서울특별시 영등포구 도신로60길 7	 서울특별시 영등포구 신길동 116-15	등록시장	건물형	             12,968
398	영등포구	도림시장	 서울특별시 영등포구 도영로 50	 서울특별시 영등포구 도림동 176-9	등록시장	건물형	               4,156
399	영등포구	동남상가	 서울특별시 영등포구 영등포로37길 4	 서울특별시 영등포구 영등포동5가 24	등록시장	건물형	               5,722
400	영등포구	로타리상가	 서울특별시 영등포구 영등포로 219	 서울특별시 영등포구 영등포동5가 20-1	상점가	건물형	               5,504
401	영등포구	별빛뉴타운골목형상점가	서울 영등포구 신길로39길 13	서울 영등포구 신길동 257-43	골목형상점가	골목형	               8,432
402	영등포구	삼구시장	 서울특별시 영등포구 영등포로 219	 서울특별시 영등포구 영등포동5가 19-1	등록시장	건물형	               3,758
403	영등포구	샛강두리골목형상점가	서울 영등포구 도신로64길 1	서울 영등포구 신길동 110-46	골목형상점가	상점가	               3,513
404	영등포구	선유도역골목형상점가	 서울특별시 영등포구 선유로47길 34	 서울특별시 영등포구 양평동4가 94	골목형상점가	상점가	               1,202
405	영등포구	선유로운골목형상점가	서울 영등포구 양평로22길 13	서울 영등포구 양평동5가 88-6	골목형상점가	골목형	               3,392
406	영등포구	신동시장	 서울특별시 영등포구 가마산로69가길 12	 서울특별시 영등포구 신길동 259-4	등록시장	건물형	               1,877
